label,text,source,group_id
Assignment,"['Any assignment or other disposition in violation of the preceding sentence shall be void.', 'Except as otherwise provided in this Agreement, including under Section 7.1, neither this Agreement nor any of the rights, interests or obligations of any Party under this Agreement shall be assigned, in whole or in part, by operation of law or otherwise, by either Party without the prior written consent of the other Party; provided, however, that (a) either Party may assign any of the foregoing in connection with the sale or other transfer of the applicable business or assets of such Party or its Affiliates to which this Agreement relates (except that neither of the Buyer Entities may assign any such rights, interests or obligations with respect to the Arizona Licensed Trademarks); (b) Arizona may assign any of the foregoing to one or more of its Affiliates and (c) the Company and Buyer may assign any of the foregoing to one or more of its Subsidiaries, controlled Affiliates, AWP, or any holding company that is a direct or indirect parent of the Company; provided that in each case (b) and (c), no assignment shall relieve the assigning Party of any of its obligations under this Agreement unless agreed to by the non-assigning Party.']",cuad,cuad:ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.pdf
Assignment,"[""This Agreement may not be assigned by either Party to any Third Party without the written consent of the other Party hereto; except either Party may assign this Agreement without the other Party's consent to an entity that acquires substantially all of the business or assets of the assigning Party, whether by merger, acquisition or otherwise; provided that the acquiring party agrees in a writing delivered to the non-assigning Party to assume all of the rights and obligations of the assigning Party under this Agreement."", 'Any assignment of this Agreement in contravention of this Section 18.9 shall be null and void.']",cuad,"cuad:Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT.PDF"
Assignment,['No Party may assign any rights under this Agreement or delegate any duties hereunder without the prior written consent of the other Party.'],cuad,cuad:ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf
Assignment,"[""Company may not assign or delegate this Agreement or any of its rights or obligations hereunder, whether voluntarily, involuntarily, by operation of Law or otherwise, without ACSI's prior written consent, which consent shall not be unreasonably withheld or delayed, except that Company may assign this Agreement to any direct or indirect wholly owned subsidiary in connection with any corporate reorganization undertaken for the purpose of minimizing the tax liability of Company and its Affiliates or other bona fide corporate purpose or in connection with any Change of Control [***]"", 'ACSI may assign this Agreement to (a) any corporation or other entity resulting from any merger, consolidation, or other reorganization involving ACSI, (b) any of its Affiliates, or (c) any person or entity to which it transfers all or<omitted>substantially all of its assets relating to the Spoken-Word Audio Sub-Section; provided that the assignee agrees in writing to be bound by all the terms and conditions of this Agreement.']",cuad,cuad:AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.pdf
Assignment,"['the Parties may at any time assign or transfer all or part of its rights and obligations under this Agreement to any of its Affiliates provided that such assignment or transfer is previously notified to the other Party.', 'Consequently either this Agreement or any of the respective rights or obligations of the Parties hereunder may be assigned or otherwise transferred, in whole or in part, in any form whatsoever (including by way of change of Control), by either Party subject to the prior written consent of the other Party, which consent shall not be unreasonably withheld or delayed, and any attempt to do so without such consent shall be null and void.']",cuad,cuad:AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.pdf
Assignment,"[""Except as expressly provided in this Agreement, Bellicum specifically agrees not to, and agrees not to cause any Third Party to, sell, market, export, transfer, or re-export Miltenyi Products without Miltenyi's express prior written consent."", 'This Agreement shall not be assignable, pledged or otherwise transferred, nor may any right or obligations hereunder be assigned, pledged or transferred, by either Party to any Third Party without the prior written consent of the other Party, which consent, in the event of a financing transaction by the Party asking for consent, shall not be unreasonably withheld, conditioned or delayed by the other Party; except either Party may assign or otherwise transfer this Agreement without the consent of the other Party to an entity that acquires all or substantially all of the business or assets of the assigning Party relating to the subject matter of this Agreement, whether by merger, acquisition or otherwise; provided that intellectual property rights that are owned or held by the acquiring entity or person to such transaction (if other than one of the Parties to this Agreement) shall not be included in the technology licensed hereunder', 'Any assignment of this Agreement in contravention of this Article 17 shall be null and void.']",cuad,"cuad:BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.PDF"
Assignment,"['Neither Party may transfer or assign any of its rights or obligations under this Agreement without the prior written consent of the other Party, except that either Party may assign this Agreement to any entity controlled by it, its parents, subsidiaries, or affiliates, or to any purchaser of the business to which this Agreement relates subject to the other Parties consent which will not be unreasonably withheld or delayed.']",cuad,"cuad:BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT.PDF"
Assignment,"[""Each Party may only subcontract its activities under this Agreement (including under a Workflow Development Plan) with the other Party's consent; provided that such consent shall not be necessary if (a) such subcontracting of activities is [***]<omitted>of such subcontracting Party (e.g. [***]) or (b) [***] (e.g. [***]) in order for a Party to [***]."", 'Each sublicense of any license granted to BLI under this Section 9.2 (Grants to BLI) will (i) be in writing, (ii) be consistent with the terms and conditions of this Agreement and (iii) require each sublicensee thereunder to comply with all terms of this Agreement applicable to a sublicensee; provided that, subject to Section 6.2.1, such prior written consent of Ginkgo shall not be needed for any sublicense granted by BLI (a) under Section 9.2.1, to a Permitted Subcontractor of BLI under Section 2.7 (Subcontracting) to the extent such sublicense relates to the subcontracted activities, (b) any wholly-owned subsidiary of BLI existing as of the Effective Date, or (c) any other Person, including other Affiliates and any Third Party, under Section 9.2.2.', 'Except as permitted under Sections 9.2.1 and 9.2.2, BLI may not sublicense, assign or otherwise transfer the rights granted to it in this Section 9.2 (Grants to BLI) without first obtaining the prior written consent of Ginkgo[***].', 'Any purported assignment of this Agreement by a Party in contradiction to this Section 14.4 (Assignment) will be void and of no effect.', ""Neither Party may assign or otherwise transfer this Agreement or any rights hereunder, without the prior written consent of the other Party; provided that either Party may assign or otherwise transfer this Agreement or any rights hereunder (a) to a wholly-owned subsidiary of such Party or (b) in connection with the transfer or sale of all or substantially all of the business or assets of such Party related to the subject matter of this Agreement, whether by merger, consolidation, divestiture, restructure, sale of stock sale of assets or otherwise its successor, whether in a merger, sale of stock or sale of assets or any other transaction, in each case (a)-(b), without first obtaining the prior written consent of the other Party, so long as the non-assigning Party is notified in writing of such assignment within [***] ([***]) days following such assignment; provided further that, in no event may BLI assign this Agreement, in whole or in part, to any Person [***] without first obtaining Ginkgo's prior written consent.""]",cuad,"cuad:BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT.PDF"
Assignment,"[""Neither party may assign this Agreement without the other's prior written approval, except by operation of law or in connection with the sale of substantially all of the assets of such party's business or the acquisition of such party by a third party."", 'Co-Host shall not have the right to assign or otherwise transfer this Agreement or any rights herein granted to any other person or entity, except by operation of law or in connection with the sale of all of its assets, or the acquisition of the Co-Host by a third party. Any such attempted assignment shall be void and the Agreement shall remain in effect.']",cuad,cuad:BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT.PDF
Assignment,['Neither Party shall assign this Development Agreement or the obligations contained herein without the express written consent of the other Party.'],cuad,cuad:BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1).pdf
Assignment,['Neither party will not assign or otherwise transfer any of its rights or obligations under this Agreement without the express prior written consent of the other party.'],cuad,cuad:BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.PDF
Assignment,"['Distributor shall not assign the rights granted in this Section 1.01 without the prior written consent of the Company.', 'Distributor shall not assign this Agreement or any rights or obligations hereunder without the prior written consent of the Company.']",cuad,cuad:BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT.PDF
Assignment,"['This Agreement shall be binding upon the parties hereto and their respective successors and assigns; provided that this Agreement may not be assigned, or otherwise transferred, in whole or in part, by either party without the prior written consent of the other party, which the other party will not unreasonably withhold, condition or delay; and provided further that (i) consent is not required for an assignment to an affiliate of Agent and (ii) any reorganization, merger, consolidation, sale of assets or other form of business combination by Agent shall not be deemed to constitute an assignment of this Agreement.']",cuad,cuad:BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF
Assignment,"['Customer will not assign this Agreement or any of its rights hereunder without the prior written consent of IBM, such consent not to be unreasonably withheld.']",cuad,cuad:BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement.PDF
Assignment,"['Neither party shall assign or transfer any of its rights under this Agreement without the prior written approval of the other party, except no such approval shall be required for an assignment to a financially responsible affiliate.']",cuad,cuad:BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT.PDF
Assignment,"['Neither party to this Agreement shall assign, subcontract, or otherwise conveyor delegate its rights or duties hereunder to any third party without the prior written consent of the other party hereto, such consent not to be unreasonably withheld.']",cuad,cuad:BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.PDF
Assignment,"[""This Agreement shall be binding upon the parties and their respective successors and assigns; provided, however, that no rights or obligations hereunder, including but not limited to Licensee's Subscriber accounts, shall be assigned or transferred, in whole or in part, by either of the parties hereto to any person, firm or corporation without prior written consent by the other party, which consent shall not be unreasonably withheld or delayed.""]",cuad,cuad:BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT.PDF
Assignment,"['This Agreement shall inure to the benefit of and be binding upon the Parties and their respective successors and assigns, including, but not limited to, any chapter 11 or chapter 7 trustee; provided, however, that this Agreement may not be assigned by any of the Parties without the prior written consent of the other, provided further that notwithstanding the foregoing, GA and Tiger may each collaterally assign this Agreement and their rights thereunder to their respective lenders.']",cuad,cuad:BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.PDF
Assignment,"['Assignment of Member status, under this clause, including any management and voting interests, will require the consent of all the remaining Members.']",cuad,"cuad:BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT.PDF"
Assignment,"['This Agreement, and your rights and obligations under it, are and shall remain personal to you.', 'The Agreements, and your rights and obligations under them, are and shall remain personal to you.', 'This guaranty is personal to you and the obligations and duties imposed in it may not be delegated or assigned; provided, this guaranty shall be binding upon your successors, assigns, estates and personal representatives.', 'You (and your shareholders, partners and members) will not directly or indirectly make a Transfer without our prior written consent.']",cuad,cuad:BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT.PDF
Assignment,"['This Agreement is not assignable or transferable by either Party, in whole or in part, without the prior written consent of the other Party; provided, however that Premier may assign this Agreement in the event that Premier is sold, merged into or with another entity, or undergoes a ""change in control"".']",cuad,cuad:BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.pdf
Assignment,"[""Berkshire may not assign this Agreement, in whole or in part, without Auriemma's written consent.""]",cuad,cuad:BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf
Assignment,['Neither party may assign this Agreement or the rights and obligations thereunder to any third party without the prior express written approval of the other party which shall not be unreasonably withheld.'],cuad,cuad:BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf
Assignment,"['This Agreement and all of the provisions hereof shall be binding upon and inure to the benefit of the Parties and their respective successors and permitted assigns (including by operation of law), but neither this Agreement nor any of the rights, interests or obligations hereunder shall be assigned by any Party, whether by operation of law or otherwise, without the prior written consent of the other Party; provided that either Party may collaterally assign its rights under this Agreement to any party providing debt or equity financing to such Party without the consent of the other Party.']",cuad,cuad:BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.pdf
Assignment,"['Neither Party may assign this Agreement without the prior written consent of the other Party; provided, however that either Party may assign in connection with a merger or sale of all or substantially all of its stock or assets, provided the assignee agrees to be bound by all of the terms and conditions of this Agreement.']",cuad,"cuad:CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.PDF"
Assignment,['Neither Party shall be entitled to assign any of its rights or duties hereunder to any third parties without a written consent of the other Party thereto.'],cuad,cuad:CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.PDF
Assignment,"['This Agreement shall be binding upon and shall inure to the benefit of the Parties and their respective successors and permitted assigns; provided, however, that neither this Agreement nor any of the rights, interests or obligations hereunder shall be assigned by any Party without the prior written consent of the other Party.']",cuad,cuad:CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement.PDF
Assignment,['Neither Party shall assign any rights or obligations provided herein without the prior written consent of the other Party.'],cuad,cuad:CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement.PDF
Assignment,"['Neither party shall assign or delegate this Agreement or any rights, duties or obligations hereunder to any other person and/or entity without prior express written approval of the other party.']",cuad,"cuad:COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement.PDF"
Assignment,['Neither this Agreement nor any of the rights of any of the parties under this Agreement shall be assigned without thewritten consent of all the parties.'],cuad,"cuad:CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF"
Assignment,"['Any assignment in violation of this Section 14.1 shall be null and void.', 'Neither party may assign this Agreement or any rights or obligations hereunder, whether by operation of law or otherwise, without the prior written consent of the other party.']",cuad,cuad:CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT.PDF
Assignment,"[""Any attempt to assign without the other party's consent will be null and void and will afford the non-assigning party the right to immediately cancel and terminate this Agreement."", 'Neither party may assign its rights or powers under this Agreement without the express written consent of the other, which consent shall<omitted>not be unreasonably withheld.']",cuad,"cuad:CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT.PDF"
Assignment,"['This Agreement may not be assigned by either party, except (a) to the transferee of substantially all of the business operations of such party (whether by asset sale, stock sale, merger or otherwise) or (b) to any entity that controls, is controlled by or is under common control with such party.']",cuad,cuad:CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT.PDF
Assignment,"['No party to this Agreement has the right to assign any of its rights or obligations hereunder, except as already set forth under this Agreement.']",cuad,cuad:CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.pdf
Assignment,"['Any purported assignment without such consent shall be void.', 'Except as expressly set forth in this Agreement, neither this Agreement nor any of the rights, interests or obligations under this Agreement, including the licenses granted pursuant to this Agreement, shall be assigned, in whole or in part, by operation of Law or otherwise by either Party without the prior written consent of the other Party.']",cuad,cuad:CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf
Assignment,"[""Neither party shall, without the prior written consent (not to be unreasonably withheld or delayed) of the other party having been obtained, assign or transfer this Agreement to any person or entity, in whole or in part (and any attempt to do so shall be void), provided that, each party may assign or transfer this Agreement without such consent to any Affiliate or to any successor by merger of such party, or upon a sale or other transfer of all or substantially all of such party's assets or business to which the subject matter of this Agreement pertains, provided that the acquirer of the business confirms to the Supplier in writing its agreement to be bound by all of the terms and conditions of this Agreement and that the assignor shall remain liable for the obligations hereunder."", 'Notwithstanding the foregoing, it shall not be deemed unreasonable for Columbia to withhold consent, to any proposed or attempted assignment (including by merger or sale) by Fleet to a party which is not an Affiliate, if Columbia is not reasonably satisfied that the assignee possesses the management, finances, personnel, capabilities and facilities to perform fully the obligations of Fleet hereunder.']",cuad,"cuad:Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT.PDF"
Assignment,"['To the extent working with Agents or other Third Parties is permitted under the R&D Work Plan, should a Party wish to engage an Agent or any other Third Party in connection with the R&D Work Plan or any other work under this Agreement, such Party must obtain in advance a written agreement by such Agent or other Third Party (i) to assign to the Party all Inventions conceived, created or generated by the Agent or other Third Party, and (ii) to maintain all Confidential Information in confidence as set forth in Section 5.2.', ""Except as otherwise provided herein, a Party shall not have the right to assign any of its rights or obligations under this Agreement (whether through a merger, sale of stock, or otherwise) without the prior written consent of the other Party; except that, either Party shall be permitted, without any need for the other Party's consent, to assign this Agreement (a) in whole or in part to an Affiliate (provided, however, that once such Person is no longer an Affiliate of the assigning Party, such former Affiliate shall assign this Agreement back to the assigning Party), provided that the assigning Party provides the other Party notice of any such assignment provided further that failure to provide such notice of such assignment shall not render such assignment void; or (b) to a Third Party in connection with sale or transfer of all or substantially all of the assigning Party's business or assets relating to the subject matter of this Agreement, whether by Change of Control, merger, sale of assets or otherwise; provided, however, that, with respect to clause (b), (i) any assignment of this Agreement shall be void and have no effect unless and until the assignee assumes the<omitted>assigning Party in a written instrument, a copy of which is provided to the other Party; and (ii) any assignment of this Agreement must be accompanied by a simultaneous assignment of the Other Agreements to the same assignee, and the assigning Party's interest in the Purchased Assets to the same assignee unless otherwise agreed by Conformis in advance, which agreement shall not be unreasonably withheld."", 'Any assignment not in accordance with this Section 10.2 shall be void.']",cuad,cuad:ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement.pdf
Assignment,"['MA may not assign, sell, lease or otherwise transfer in whole or in party any of the rights granted pursuant to this Agreement without prior written approval of Company.']",cuad,cuad:CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf
Assignment,"['Assignment Without the express prior written consent of Diversinet (not to be unreasonably refused), Reseller may not assign this Agreement or its interest herein in whole or in part but Reseller shall continue to be responsible should the assignee fail to perform. Diversinet may assign this Agreement at any time and in such event, this Agreement shall continue in full force and effect as if the assignee were named as the licensor in the first instance but Diversinet shall continue to be responsible should the assignee fail to perform.', 'Notwithstanding any provision to the contrary in the Agreement, Licensor shall not subcontract or assign any of the Services that may require access to or the downloading or other use of Personal Information except with the prior written consent of Licensee or as required to be disclosed by a governmental agency or third party as expressly required by operation of law, regulation or court order.', 'Reseller acknowledges and agrees that it does not have the right to assign sub-resellers under this Agreement outside of the Territory, except with the prior written consent of Diversinet.']",cuad,cuad:DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT.PDF
Assignment,"['Except as may otherwise be provided in this Agreement, Consultant may not sell, assign or delegate any rights or obligations under this Agreement.']",cuad,"cuad:DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF"
Assignment,"[""Neither party may assign this Agreement, in whole or in part, without the other party's written consent, which consent will not be unreasonably withheld, except that: (a) a party's rights and obligation hereunder may be transferred to a successor of all or substantially all of the\n\n\n\n\n\nbusiness and assets of the party regardless of how the transaction or series of related transactions is structured, provided, that the successor party agrees to be bound by all of the terms and conditions of this Agreement; and (b) Sponsor may assign its rights and obligations under this Agreement to any entity (i) which operates the Sponsor Website and (ii) which agrees to bound by all of the terms and conditions of this Agreement.""]",cuad,cuad:DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT.PDF
Assignment,"['Neither Party shall sell, assign, subcontract, transfer or dispose of this Agreement or any part thereof, without the prior written consent of the other Party or otherwise enter into an agreement with any other Party for Services contemplated herein.']",cuad,cuad:DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.PDF
Assignment,"[""Neither party any assign this Agreement, or their respective rights and obligations hereunder, in whole or in part, without the other party's prior written consent; PROVIDED, HOWEVER, that Tadeo shall be entitled to assign all of its rights and obligations hereunder to any subsidiary or affiliated entity without the consent of Diplomat."", 'Any attempt to assign this Agreement without such consent (if required) shall be void and of no effect AB INITIO.']",cuad,cuad:DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.PDF
Assignment,"['Except as provided in the preceding sentence, this Agreement may not be assigned by PrimeCall without the prior written consent of DeltaThree.', 'This Agreement may not be assigned by DeltaThree without the prior written consent of PrimeCall.']",cuad,cuad:DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf
