label,text
Indemnification,"The Supplier's indemnification obligations extend to all direct and indirect damages, attorney's fees, and costs, with no cap or exclusion of any kind."
Indemnification,"Neither party shall be required to indemnify the other for claims arising from the indemnified party's own gross negligence or willful misconduct."
Indemnification,"The Licensee shall indemnify the Licensor against any claims arising from unauthorized use or modification of the Licensed Software."
Indemnification,"This indemnification obligation shall survive termination or expiration of this Agreement."
Indemnification,"The Company shall indemnify the Reseller for third-party claims related to defects in the Product, up to the amount of fees paid in the preceding year."
Indemnification,"Each party agrees to promptly notify the other of any claim for which indemnification may be sought under this Section."
"Auto-Renewal","This Agreement shall automatically renew for successive one-year terms unless either party provides written notice of non-renewal at least sixty (60) days prior to the end of the then-current term."
"Auto-Renewal","The subscription will automatically renew each month, and the Customer's payment method will be charged accordingly unless cancelled prior to the renewal date."
"Auto-Renewal","This Agreement renews automatically for successive terms of equal length unless terminated by either party in accordance with Section 12."
"Auto-Renewal","Failure to provide notice of non-renewal within the required timeframe shall result in automatic renewal of this Agreement under the same terms and conditions."
"Auto-Renewal","The initial term shall be one (1) year, after which this Agreement shall automatically renew for additional one-year periods absent written notice of termination."
"Auto-Renewal","Auto-renewal fees will be charged at the then-current list price, which may differ from the price paid during the initial term."
"Auto-Renewal","Unless cancelled at least ninety (90) days before expiration, this Agreement will automatically extend for an additional two-year term."
"Auto-Renewal","The parties acknowledge that this Agreement does not renew automatically and requires a new signed agreement for any extension."
"Auto-Renewal","This Agreement's automatic renewal provision may only be waived by mutual written agreement of both parties."
"Auto-Renewal","Notice of intent not to renew must be delivered in writing via certified mail no less than forty-five (45) days before the renewal date."
"Governing Law","This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware, without regard to its conflict of laws principles."
"Governing Law","Any dispute arising under this Agreement shall be subject to the exclusive jurisdiction of the courts located in New York County, New York."
"Governing Law","This Agreement and any disputes arising hereunder shall be governed by the laws of England and Wales."
"Governing Law","The parties consent to the personal jurisdiction of the state and federal courts located in San Francisco, California."
"Governing Law","This Agreement shall be interpreted under the laws of India, and the courts of Mumbai shall have exclusive jurisdiction over any disputes."
"Governing Law","Nothing in this Section shall prevent either party from seeking injunctive relief in any court of competent jurisdiction."
"Governing Law","This Agreement shall be governed by the substantive laws of the State of Texas, excluding its choice-of-law provisions."
"Governing Law","The parties agree that Singapore law shall govern this Agreement in its entirety."
"Governing Law","Any legal action relating to this Agreement must be brought exclusively in the courts of the jurisdiction where the Company is headquartered."
"Governing Law","This Agreement shall be construed under the laws of the Province of Ontario, Canada."
"Dispute Resolution","Any dispute arising out of this Agreement shall be resolved through binding arbitration administered by the American Arbitration Association."
"Dispute Resolution","The parties agree to first attempt to resolve any dispute through good-faith negotiation before pursuing formal legal action."
"Dispute Resolution","All disputes shall be resolved exclusively through binding arbitration, and both parties expressly waive their right to a jury trial."
"Dispute Resolution","The Client waives any right to participate in a class action lawsuit against the Company arising from this Agreement."
"Dispute Resolution","Any controversy arising out of this Agreement shall be settled by mediation prior to initiating arbitration or litigation."
"Dispute Resolution","Arbitration proceedings under this Section shall be conducted in English and take place in London."
"Dispute Resolution","Nothing in this arbitration clause shall preclude either party from seeking emergency injunctive relief in a court of competent jurisdiction."
"Dispute Resolution","The prevailing party in any dispute shall be entitled to recover reasonable attorneys' fees and costs from the other party."
"Dispute Resolution","Each party irrevocably waives any right to a trial by jury in any proceeding arising out of this Agreement."
"Dispute Resolution","Disputes valued under $10,000 shall be resolved in small claims court rather than through arbitration."
"Force Majeure","Neither party shall be liable for any failure to perform its obligations due to causes beyond its reasonable control, including acts of God, war, or natural disaster."
"Force Majeure","A Force Majeure event shall not excuse either party's obligation to make payments already due under this Agreement."
"Force Majeure","If a Force Majeure event continues for more than sixty (60) days, either party may terminate this Agreement without penalty."
"Force Majeure","The affected party shall notify the other party in writing within five (5) business days of the onset of any Force Majeure event."
"Force Majeure","Force Majeure events include, but are not limited to, pandemics, government action, labor disputes, and failures of telecommunications or utilities."
"Force Majeure","Neither party shall be excused from performance under this Agreement for any Force Majeure event that was reasonably foreseeable at signing."
"Force Majeure","The party affected by a Force Majeure event shall use commercially reasonable efforts to mitigate the impact and resume performance."
"Force Majeure","This Section shall not apply to obligations to pay money that has already accrued prior to the Force Majeure event."
Warranty,"The Company warrants that the Services will be performed in a professional and workmanlike manner consistent with industry standards."
Warranty,"THE SOFTWARE IS PROVIDED 'AS IS', WITHOUT WARRANTY OF ANY KIND, EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE."
Warranty,"The Vendor disclaims all warranties, whether express, implied, or statutory, to the fullest extent permitted by applicable law."
Warranty,"The Contractor warrants that the Deliverables will be free from material defects for a period of ninety (90) days following delivery."
Warranty,"Except as expressly set forth herein, neither party makes any warranties, and each party expressly disclaims all implied warranties."
Warranty,"The Company warrants good and clear title to the Products, free of any liens or encumbrances, at the time of delivery."
Warranty,"Any warranty claims must be submitted in writing within thirty (30) days of discovering the defect, or the claim shall be waived."
Warranty,"The Licensor makes no warranty that the Software will be uninterrupted, error-free, or fully compatible with all systems."
Warranty,"The Seller warrants that the goods delivered under this Agreement conform to the specifications set forth in Exhibit B."
Warranty,"All warranties provided under this Agreement are void if the Product has been modified or misused by the Client."
"Intellectual Property","All intellectual property rights in the Deliverables shall vest exclusively in the Client upon full payment of all fees due."
"Intellectual Property","The Contractor retains ownership of all pre-existing intellectual property and grants the Client a non-exclusive license to use it solely in connection with the Deliverables."
"Intellectual Property","Any inventions, improvements, or works created by the Employee during the course of employment shall be the sole and exclusive property of the Company."
"Intellectual Property","Each party retains ownership of its own pre-existing intellectual property, and no license is granted except as expressly stated herein."
"Intellectual Property","The Licensee is granted a limited, non-transferable, revocable license to use the Software solely for internal business purposes."
"Intellectual Property","All trademarks, trade names, and logos used in connection with this Agreement remain the exclusive property of their respective owners."
"Intellectual Property","The Company hereby assigns all right, title, and interest in the Work Product to the Client, including all associated intellectual property rights."
"Intellectual Property","Any feedback or suggestions provided by the Client regarding the Product may be freely used by the Company without compensation or attribution."
"Intellectual Property","Nothing in this Agreement shall be construed to grant either party any rights to the other party's trademarks without prior written consent."
"Intellectual Property","The Vendor grants the Customer a perpetual, worldwide, royalty-free license to use the Deliverables for any purpose."
"Non-Compete","During the term of employment and for twelve (12) months thereafter, the Employee shall not engage in any business that directly competes with the Company within the same geographic market."
"Non-Compete","The Contractor agrees not to solicit or provide services to any client of the Company for a period of one (1) year following termination of this Agreement."
"Non-Compete","The Employee shall not, for a period of two (2) years after termination, work for or consult with any direct competitor of the Company anywhere in the world."
"Non-Compete","This non-compete restriction shall not apply if the Employee is terminated without cause."
"Non-Compete","The Seller agrees not to engage in a competing business within a 50-mile radius of the Company's headquarters for three (3) years following the sale."
"Non-Compete","Any non-solicitation obligation under this Section shall extend to both clients and employees of the Company."
"Non-Compete","The scope of this non-compete clause is limited to the specific industry and services provided by the Company as of the Effective Date."
"Non-Compete","The Employee acknowledges that this non-compete covenant is reasonable in scope, duration, and geographic area given the nature of the Company's business."
