label,text
Governing Law,Any disputes or claims arising under this Agreement shall be governed by the laws of the State of Texas.
Governing Law,"This Agreement shall be governed by, and construed in accordance with, the laws of the State of New York."
Intellectual Property,All rights granted to HSWI under this Agreement may be exercised by or through HSWI and/or its Affiliates.
Assignment,Agency may not assign this Agreement without the written permission of MICOA or its successors or assigns.
Governing Law,This Agreement shall be governed by and interpreted in accordance under the laws of the State of New York.
Governing Law,This Agreement shall be governed by and construed in accordance with the laws of the State of Connecticut.
Assignment,CONSULTANT shall not be entitled to assign any of CONSULTANT's rights or obligations under this Agreement.
Termination,Microsoft may terminate this Agreement at any time without cause upon [*] ([*]) days prior written notice.
Assignment,This agreement may not be assigned or delegated by Affiliate without prior written consent from Network 1.
Termination,Sparkling may terminate this Agreement at any time upon ninety (90) calendar days written notice to Garman.
Governing Law,This Agreement shall be governed and construed in accordance with the laws of the United States of America.
Termination,Either Party may terminate this Agreement by giving the other Party thirty (30) days' prior written notice.
Payment Terms,the Agent will be paid a fee not to exceed 5.5% of the aggregate Purchase Price of the Shares sold by them.
Assignment,This Agreement shall not be assigned by the Distributor without the prior written consent of the Principal.
Governing Law,This agreement will be governed by and must be construed in accordance with the laws of the State of Israel
Governing Law,"This agreement shall be construed, interpreted and governed by and in accordance with the laws of Hong Kong."
Governing Law,This Agreement shall be governed by and construed in accordance with the internal laws of the State of Ohio.
Termination,"Upon termination of this Agreement, Galaxy may, at its sole discretion accept inventory returns of Products."
Assignment,This Agreement shall not be assignable by either party without the prior written consent of the other party.
Termination,Upon Diplomat giving Tadeo at least sixty (60) days advance written notice of termination of this Agreement.
Liability,MMI shall not be liable for indirect or consequential damages unless caused by intention or gross negligence.
Governing Law,This Agreement shall be governed by the laws of Nova Scotia and the laws of Canada applicable in Nova Scotia.
Assignment,This Agreement will also terminate automatically in the event of its assignment (as defined in the 1940 Act).
Audit Rights,"Once every 12 months, the party receiving payment or its designee may inspect such records to verify reports."
Governing Law,"This Agreement will be governed by, construed and enforced in accordance with the laws of the State of Texas."
Assignment,"This Agreement may not be assigned by either Party, except with the prior written consent of the other Party."
Auto-Renewal,Thereafter the term of this Agreement shall automatically renew for consecutive periods of two (2) years each.
Payment Terms,Green Cross shall pay to MacroGenics a royalty of *** on Net Sales of Competing Products for the Royalty Term.
Payment Terms,"Commencing with ****, Dexcel may adjust the Supply Price for the next following Year not more often than ****."
Payment Terms,"Logo Size: The minimum logo size is 1"" or 25mm. In digital formats, the minimum width is 100 pixels at 72 dpi."
Termination,Either Consultant or Company may terminate this Agreement upon prior written notice thereof to the other party.
Non-Compete,"Distributor will not carry any competitive products without Tripath's consent, which shall not be unreasonable."
Payment Terms,It is the intention of the parties that no less than 50% of the Joint Venture Products should be sold overseas.
Governing Law,"The laws of the State of Florida shall govern this Agreement, without reference to conflicts of law provisions."
Insurance,"Company agrees to provide and maintain, at its own expense, general commercial and product liability insurance."
Assignment,[ * ] may [ * ]any of its rights or obligations under this Agreement without the prior written consent of [ * ].
Payment Terms,"For each month during the Term, the Company will pay CNET a minimum of [XXXX] in cash, plus [XXX] of CNET Sales."
Governing Law,"This Agreement is governed by and construed in accordance with English law, save where provided otherwise herein."
Payment Terms,"MP3.com agrees to deliver a guaranteed minimum of 3,000,000 Impressions per month for the term of this Agreement."
Governing Law,This Amendment shall be governed by and construed in accordance with the laws of the Commonwealth of Pennsylvania.
Governing Law,This Agreement shall be governed by and construed in accordance with the laws of the Commonwealth of Pennsylvania.
Governing Law,This Agreement will be governed by the laws of the State of Florida without regard to conflicts of law provisions.
Assignment,This Agreement may not be assigned in whole or in part by either party without prior written consent of the other.
Assignment,This Agreement may not be assigned by either party ---------- without the prior written consent of the other party.
Audit Rights,The Parties rights and obligations with respect to quality assurance audits are set forth in the Quality Agreement.
Governing Law,"This Termination Agreement shall be governed by the laws of the PRC, without regard to conflicts of law principles."
Termination,Either party may terminate this Agreement without cause at any time effective upon thirty (30) days' written notice.
Assignment,Neither party shall assign this Agreement or any rights under it except with the prior written consent of the other.
Governing Law,"The construction, validity and performance of this Agreement shall be governed in all respects by the laws of Japan."
Governing Law,"The validity, construction and performance of this Agreement shall be governed by the laws of the State of New York."
Termination,"This Agreement may be terminated by Anixa, without cause, upon at least thirty (30) days written notice to OntoChem."
Auto-Renewal,This term shall be extended for a 1 year period provided 3000 pagers per month are distributed to Purchase customers.
Termination,Either party may terminate this Agreement without cause upon sixty (60) days prior written notice to the other party.
Assignment,This Agreement may not be assigned by either party except with the prior written consent of the other parties hereto.
Governing Law,"This Agreement shall be governed by the laws of the State of Delaware, its rules of conflict of laws notwithstanding."
Non-Compete,Moelis Holdings agrees not to open an office in Japan conducting Covered Businesses during the term of this Agreement.
Auto-Renewal,The term of this Agreement may be extended for an additional two year period with the written consent of both parties.
Termination,"Either party may terminate this Agreement, without cause, by giving the other party [*****] days prior written notice."
Assignment,This Agreement is not assignable by any party to the Agreement without the prior written consent of the other parties.
Non-Compete,Dr. Murray shall not directly assist in the development of any product competitive to products developed by EHS or EHN.
Assignment,This Agreement shall automatically terminate in the event the Management Agreement is assigned or otherwise terminated.
Governing Law,This Agreement will be governed by the laws of the State of Delaware without regard to its conflicts of law principles.
Warranty,The above warranties are valid for a period of [***] from the date of shipment of any Licensed Product to any customer.
Payment Terms,"The minimum monthly fee shall not be less than five thousand dollars ($5,000) per month (as applicable, ""Minimum Fee"")."
Intellectual Property,"Joint Improvements shall be owned jointly by the Parties, and PPI's interest therein shall be licensed to EKR hereunder."
Payment Terms,"Logo Size: The minimum logo size is 1"" or 25mm. (Page 34) In digital formats, the minimum width is 100 pixels at 72 dpi."
Governing Law,"This Agreement is governed by the laws of the State of Texas, without regard to the conflict of laws provisions thereof."
Termination,This Agreement or any Project Plan may be terminated: (a) by Magenta for any reason upon [***] written notice to Bachem;
Governing Law,This Agreement is governed by the laws of the State of New York without giving effect to principles of conflict of laws.
Governing Law,"THIS AGREEMENT SHALL BE GOVERNED BY, AND CONSTRUED AND INTERPRETED IN ACCORDANCE WITH, THE LAW OF THE STATE OF NEW YORK."
Governing Law,This Agreement shall be construed and enforced in accordance with and governed by the laws of the State of Massachusetts.
Payment Terms,"The fee shall be equal to 5.2% of the ""gross proceeds"" received in the Offering attributable to the efforts of the Agent."
Assignment,"This Agreement shall not be assigned by either party hereto, without the prior written consent of the other party hereto."
Assignment,Neither Party shall assign any rights or obligations provided herein without the prior written consent of the other Party.
Non-Compete,Distributor may not sell or license Products directly to end use customers without the express written consent of NETGEAR.
Payment Terms,"CONSIDERATION TO PROVIDER Seven hundred fifty thousand (750,000) shares of Kingdom Connect, Inc. Series A Preferred Stock."
Assignment,Neither party shall assign any of its rights or obligations hereunder without the prior written consent of the other party.
Termination,"Upon termination of this Agreement, Fleet agrees to perform its obligations under this Agreement until the earlier of [***]."
Liability,The liability of EIT will be limited to a value equal to contractual value as per clause 7.1 and will not exceed this value.
Auto-Renewal,The Parties may negotiate for an extension of this Agreement six (6) months before the expiration of the Cooperation Period.
Intellectual Property,PCQ agrees to allow ABW to co-brand the PCQ SOFTWARE in order to provide a value added service on ABW's World Wide Web site.
Assignment,"This Agreement may not be waived, amended or assigned without an agreed written and signed document, signed by both Parties."
Intellectual Property,"In addition, Party A shall not use the functions and information provided by Party B to carry out any commercial activities."
Exclusivity,Dynamex agrees not to provide sameday delivery services for any other provider of next day or multiple day courier services.
Assignment,Neither party shall assign their respective rights under this Agreement without the prior written consent of the other party.
Termination,PivX may terminate this Agreement for convenience by giving at least thirty (30) days written notice of termination to Detto.
Auto-Renewal,"After the initial term, unless terminated, this Agreement will automatically renew for periods of one (1) calendar year each."
Termination,This Agreement shall be terminable <omitted> by Licensor or Licensee upon sixty (60) days' written notice to the other partyÕæ
Audit Rights,allow COFS or its authorized representatives to enter upon the premises at reasonable times to be arranged in advance of entry
Termination,"Subject to Section 18.7.2, Astellas may terminate this Agreement upon six (6) months notice to FG for any reason or no reason."
Termination,Said books and records shall be maintained for a two (2) year period following the expiration or termination of this Agreement.
Intellectual Property,"BOSCH hereby grants CLIENT the ""Exclusive Distribution License Rights"" sell and distribute the Products within the ""Territory""."
Termination,"such a case, the remaining Source Plasma shall be immediately returned to Sanofi Pasteur, under ADMA's liability and expenses. S"
Non-Compete,"The Company shall not contact any of Distributor's Customer's for any reason, without the prior written approval of Distributor."
Assignment,This Agreement may not be assigned by Licensee without the consent of Licensor which consent shall not be unreasonably withheld.
Termination,"This Agreement shall terminate (a) at the option of any party, upon 90 days' advance written notice to the other parties hereto;"
Assignment,Neither party to this Agreement shall assign the rights and benefits herein without the prior written consent of the other party.
Termination,"Upon the termination of this Agreement, Operator shall cooperate in the transition of operations to Owner or a successor operator"
Assignment,"This Agreement is not assignable by Distributor without prior written consent of Tripath, which will not be unreasonably withheld."
Assignment,This Agreement or any rights or obligations granted hereunder may not be assigned by ABW without the prior written consent of PCQ.
Intellectual Property,"Arizona agrees to assign and hereby assigns its entire right, title and interest in and to the Arizona Assigned IP to the Company."
Payment Terms,"The Company shall pay HDI thirty percent (3016) of the Net Sales in excess of Eleven Thousand Dollars ($11,000) per calendar month."
Termination,Customer may terminate this Agreement and the license at any time by destroying all copies of Software including any Documentation.
Audit Rights,"As set forth in the Exhibit, EDGE shall have the opportunity to review and inspect all elements of the Work in a reasonable manner."
Assignment,Neither you nor any of the Owners may make any Transfer or permit any Transfer to occur without obtaining our prior written consent.
Assignment,HealthGate shall not transfer or assign the whole or any part of this Agreement without the prior written consent of the Publishers.
Assignment,"Otherwise, neither party may assign this Agreement without the other party's prior written consent (not to be unreasonably withheld)."
Assignment,Neither Party shall delegate the performance of its duties under this Agreement without the prior written consent of the other Party.
Auto-Renewal,The Term will be 3 years from Effective Date with an automatic 2 year term extensions unless otherwise advised by one of the Parties.
Warranty,"The Distributor shall have thirty (30) days (the ""Inspection Period"") upon receipt of each shipment to inspect and test the Products."
Termination,The Agreement may be terminated by both Parties with a notification period of *** before the end of the Initial Term of the Agreement.
Dispute Resolution,"The Licensee shall not otherwise contest, dispute, or challenge the Licensor's right, title, and interest in and to the Licensed Mark."
Liability,Financial reimbursements claimed according to such indemnification shall not exceed payments received by OntoChem under this contract.
Intellectual Property,"Solely for this purpose, NETGEAR and Bay Networks grant Distributor a non-exclusive, royalty-free, limited right to use the Trademarks."
Insurance,Customer is responsible for obtaining and maintaining personal property insurance sufficient to cover the value of Customer Components;
Dispute Resolution,"In the event of termination, neither party, their heirs nor successors shall issue any challenge whatsoever to contest the termination."
Insurance,The Parties shall provide civil liability insurance cover to their own personnel with respect to accidents and damages charged to them.
Payment Terms,"CAPSUGEL shall pay to CARDAX a royalty equal to [***] of the Adjusted Net Sales (""Royalty Payment"") within [***] after the end of [***]."
Change of Control,Owner may terminate this Agreement at any time upon the occurrence of any of the following: <omitted> (b) an Operator Change of Control;
Intellectual Property,"(a) The Sponsor grants ANTHEMIC a license to use the Sponsor's name, logo, and other identifying characteristics in promoting the Event."
Change of Control,A Party may terminate the JSMA immediately upon the delivery of written notice to the other Party if there has been a Change in Control.
Termination,"Customer, in its sole discretion, may terminate this Agreement, without cause, by providing six (6) months prior written notice to Philips"
Auto-Renewal,Pretzel Time shall notify Franchisee of the nonrenewal not less than six (6) months prior to the expiration of the term of this Agreement.
Assignment,No Party may assign any rights under this Agreement or delegate any duties hereunder without the prior written consent of the other Party.
Payment Terms,"If combined shipments do not meet the minimum requirement to ship LTL or TL (i.e. number pieces, min weight) then no grouping will be done."
Audit Rights,"Once every 12 months, the party receiving payment and/or User Data records or its designee may inspect such records to verify for accuracy."
Termination,"Upon any expiration or termination of this Agreement, Emdeon shall have a reasonable period of time to remove the Content from the Software"
Liability,"EXCEPT FOR CLAIMS UNDER SECTION 9 HEREOF, THE LIABILITY OF A PARTY TO THE OTHER FOR DIRECT DAMAGES SHALL NOT EXCEED FIFTEEN MILLION DOLLARS."
Termination,This Agreement may be terminated without the payment of any penalty by either party upon sixty (60) days' written notice to the other party.
Payment Terms,ENVISION will provide SIERRA with demand projections for the Product and SIERRA will produce enough Product to meet such demand projections.
Termination,Either Party may terminate this Agreement for any reason following the Initial Term upon ninety (90) days written notice to the other Party.
Assignment,"The rights and obligations of each Party under this Agreement shall not be transferred, except for the transfer by Party B to its affiliates."
Non-Compete,"The Developer shall not develop, maintain or market a similar platform and will not compete with the Client directly or indirectly worldwide."
Exclusivity,Cremer shall supply Ultragenyx exclusively with the Product worldwide (Page 1) Ultragenyx shall purchase the Product exclusively from Cremer.
Liability,PageMaster Corporations' liability shall in no event exceed an amount equivalent to the amounts received by PageMaster Corporation hereunder.
Auto-Renewal,"At Rogers' option, this Agreement shall renew for a subsequent term of two (2) years on the terms and conditions herein (the ""Renewal Term"")."
Termination,Either Party may terminate this Agreement hereunder for any reason at its convenience upon one hundred eighty (180) days prior written notice.
Termination,"This Agreement shall be in effect until March 18. 2021, unless sooner terminated by either party upon (30) days written notice, without cause."
Audit Rights,"Vertex has the right, at its sole expense and during normal working hours, to have a third party accountant examine the records of Bunker One."
Auto-Renewal,"Unless terminated in accordance with the provisions of Section 18, this Agreement shall automatically renew for each subsequent one-year term."
Termination,"Regardless of the term, Licensee can terminate Agreement with at least one hundred eighty (180) days written notice with no further obligation."
Assignment,Reseller may nat assign or otherwise transfer this Agreement without MediaNet Group Technologies's prior written consent except to a successor.
Change of Control,MBRK may terminate this Agreement upon 60 days notice for a Change of Control subject to the Fees outlined in paragraph (f) of this Section 18.
Dispute Resolution,"Licensee hereby acknowledges the validity of Licensor's Trademarks and Licensor's exclusive right, title and interest in and to the Trademarks."
Assignment,"No party to this Agreement has the right to assign any of its rights or obligations hereunder, except as already set forth under this Agreement."
Intellectual Property,"E.piphany allows for unlimited calls to its technical support desk by the HSNS personnel designated under Section 5.7 (""HSNS Responsibilities."")"
Auto-Renewal,"Following the Initial Term, either Party may terminate this Agreement without cause upon written notice to the other Party of at least 3 months."
Non-Compete,"Notwithstanding the above, Bioamber shall be permitted to evaluate other biocatalysts, but shall not undertake development of such biocatalysts."
Audit Rights,IMedicor will make its records available for audit purposes at any time by USA MCO during regular business hours at the headquarters of iMedicor.
Payment Terms,Revenue Share as specified in this CONTENT DISTRIBUTION AND LICENSE AGREEMENT. (Page 1) The revenue share for the Program is stated in Exhibit B.
Assignment,Neither Party shall assign this Development Agreement or the obligations contained herein without the express written consent of the other Party.
Termination,"Achaogen may terminate this Agreement in its entirety, for any reason, by providing at least sixty (60) days prior written notice to Microgenics."
Non-Compete,"Unless otherwise instructed by Sonos in writing, IAC is not authorized at any time to sell Custom Components to any third party or IAC Affiliate."
Auto-Renewal,The BSP then have the option to renew the agreement for another 5 years subject to any restructuring of the agreement as required by the parties.
Intellectual Property,Programmer shall not separately sell advertising time on the HD2 Channel but may market the WLIB Programs as being rebroadcast on the HD2 Channel.
Non-Compete,"The Distributor shall not: <omitted> act as the agent or the buying agent, for any person for any goods which are competitive with the Product; or"
Payment Terms,"25% of Net Revenue (as defined in Section 1e.) with a COMPANY-RESELLER AGREED UPON SALE PRICE in writing, the case of COMPANY's software products."
Assignment,"Except as may otherwise be provided in this Agreement, Consultant may not sell, assign or delegate any rights or obligations under this Agreement."
Termination,This Agreement may be terminated by (a) the written agreement of the Parties or (b) by either Party upon 5 days written notice to the other Party.
Payment Terms,SCIEN will have six 6) months after the date of this Agreement to Purchase at least 50 vials to be used by the MOH in treating patients with MERS.
Liability,"Except for claims arising under section 6, in no event will either party be liable for any special, indirect, incidental or consequential damages."
Audit Rights,"From time to time, each Party shall have the right to have its own internal or external auditors review the books and records of the Joint Venture."
Insurance,"IBM agrees to insure tooling it owns. (Page 51) Where possible, MSL will be jointly insured with respect to the IBM owned tooling for its interest."
Change of Control,This Agreement may be terminated only: <omitted> By the Company if: there is an unacceptable change in the control or management of the Distributor;
Payment Terms,"The Principal shall pay the Company a fee of $1.00 (one dollar), inclusive of VAT, per one net tonne of Commodity shipped pursuant to this Contract."
Termination,"During the term of this Agreement, Party A may terminate this Agreement at any time with a written notice to Party B 30 days before such termination."
Intellectual Property,"The Licensee hereby grants to the Licensor an irrevocable, non-exclusive, royalty-free, perpetual, worldwide license to use of any Licensee Know-how."
Assignment,"Assignment of Member status, under this clause, including any management and voting interests, will require the consent of all the remaining Members."
Termination,"Subject to the provisions of 11.1, Dynamic Hearing may terminate this Agreement upon three (3) months written notice to IntriCon of such termination."
Liability,The Adviser and FASC are each hereby expressly put on notice of the limitation of liability set forth in the Declaration of Trust of the other party.
Insurance,"Certificate of Insurance naming Logan's as an additional insured. (Page 3) supplemental coverage in excess of the Five Million Dollars ($5,000,000.00)"
Assignment,"All rights (under any applicable intellectual property right) granted herein are not sublicenseable, <omitted> transferable or assignable. (Pages 4-5)"
Intellectual Property,"During the term of this Agreement or any extension thereof, BNL shall have a non-exclusive license to use the VIP System on-line as designated by VIP."
Insurance,"If requested, [***] shall arrange for any insurance desired by [***] on shipments of Product, in amounts that [***] shall determine, and naming [***]."
Assignment,"Any sale, transfer or other conveyance of all or any part of the stock in, or assets of, Licensor in violation of this Section shall be null and void."
Termination,Axiometric will have the right to terminate the license to use the office space and to move out of the office space at any time upon two weeks notice.
Termination,"Bank of America may terminate Maintenance Services for convenience at any time in accordance with the Section entitled ""Termination"" of the Agreement."
Assignment,Neither this Agreement nor the rights of either Party hereunder shall be assigned by either Party without the prior written consent of the other Party.
Payment Terms,theglobe shall pay Boxlot *** of Net Revenues. (Page 7) Boxlot shall retain *** of the transaction revenues it generates from operation of the Service.
Assignment,Neither party may assign or otherwise transfer its rights and/or obligations under this Agreement without the prior written consent of the other party.
Payment Terms,"ESSI will provide Talent with one-million (1,000,000) shares of restricted common stock issued within ten business days of execution of this Agreement."
Termination,"COMPANY may, in its unfettered discretion, terminate this Agreement at any time after first givingCONTENT PROVIDER ten (10) days advance notice thereof."
Intellectual Property,"All Usage Data shall be owned jointly by Microsoft and Inktomi, and Inktomi hereby irrevocably assigns to Microsoft an [*] interest therein. (Pages 2-3)"
Termination,Either Party may terminate this Agreement at any time during the term of this Agreement for any reason upon two weeks written notice to the other Party.
Termination,"Company may terminate this Agreement and the license granted herein, for any reason, upon giving JHU sixty (60) days written notice under Paragraph 8.1."
Assignment,Neither this Agreement nor any of the rights of any of the parties under this Agreement shall be assigned without thewritten consent of all the parties.
Intellectual Property,"All Joint Inventions shall be jointly owned by the Parties, and Patents Covering Joint Inventions shall be referred to as ""Joint Collaboration Patents""."
Auto-Renewal,The period of license granted shall be for the Term and shall extend for a period of twenty four (24) months or until terminated as per clause 8 herein.
Payment Terms,"Company shall pay 11.67% of the Drilling Costs of the Initial Well, regardless of whether the Initial Well is successfully drilled to the Objective Zone"
Auto-Renewal,"This agreement will be automatically renewed at the end of every ten (10) year term, with each subsequent term of renewal being for a ten (10) year term."
Auto-Renewal,"When this Agreement expires, you will have the option to continue the franchise relationship with us for two (2) additional terms of ten (10) years each."
Payment Terms,Supplier will use commercially reasonable efforts to deliver Product to CUTANEA with minimum expiry dating remaining of [***]% of the approved shelf-life.
Assignment,"Programmer may not assign this Agreement without the prior written consent of Licensee, which shall not be unreasonably withheld, conditioned, or delayed."
